experiment,model_type,hidden_dim,hidden_layers,hidden_activation,num_layers,epochs,learning_rate,final_learning_rate,optimizer,adam_beta1,adam_beta2,adam_epsilon,lr_schedule,lr_step_size,lr_decay,l2_lambda,weight_init,batch_size,train_loss,val_loss,eval_loss,prediction_x4,parameter_count,weight_l2_norm,max_abs_weight,bias_l2_norm
deep_mlp_relu_16_8,deep_mlp,16,"16,8",relu,3,500,0.005,0.005,,,,,step,50,0.5,0.001,,2,9.934813,0.0,0.0,2.844883,177,0.0,0.0,2.844883
deeP_mlp_relu_8_4,deep_mlp,8,"8,4",relu,3,500,0.005,0.005,,,,,step,50,0.5,0.001,,2,9.934813,0.0,0.0,2.844883,57,0.0,0.0,2.844883
deep_mlp_relu,deep_mlp,0,,none,,500,0.005,0.005,,,,,step,50,0.5,0.001,,2,9.934813,0.0,0.0,2.844883,57,0.0,0.0,2.844883
deep_mlp_tanh_16_8,deep_mlp,16,"16,8",tanh,3,500,0.005,0.005,,,,,step,50,0.5,0.001,,2,9.934813,0.0,0.0,2.844883,177,0.0,0.0,2.844883
deep_mlp_tanh_8_4,deep_mlp,8,"8,4",tanh,3,500,0.005,0.005,,,,,step,50,0.5,0.001,,2,9.934813,0.0,0.0,2.844883,57,0.0,0.0,2.844883
linear_fast,linear,0,,none,1,50,0.02,0.02,,,,,step,50,0.5,0.0,,2,0.000116,0.000118,0.0,7.986207,2,2.490771,2.490771,4.657773
linear_long,,,,,,500,0.005,1e-05,,,,,step,50,0.5,0.001,,2,0.066707,0.085756,0.0,7.610335,2,2.373676,2.373676,4.438376
linear_slow,linear,0,,none,1,200,0.01,0.01,,,,,constant,50,0.5,0.0,,2,0.0,0.0,0.0,7.9997,2,2.494356,2.494356,4.666475
mlp_long,,,,,,500,0.005,0.005,,,,,step,50,0.5,0.001,,2,9.934813,0.0,0.0,0.196628,25,0.0,0.0,0.196628
mlp_relu,mlp,8,,relu,,500,0.005,0.005,,,,,step,50,0.5,0.001,,2,9.934813,0.0,0.0,0.196628,25,0.0,0.0,0.196628
mlp_tanh,mlp,8,,tanh,,500,0.005,0.005,,,,,step,50,0.5,0.001,,2,9.934813,0.0,0.0,0.196628,25,0.0,0.0,0.196628
linear_multi,linear,0,,none,1,500,0.01,0.000156,,,,,step,50,0.5,0.001,,2,1.8e-05,2.3e-05,6.3e-05,0.0,3,3.081174,2.232502,9.996786
mlp_tanh_8_adam_xavier,mlp,8,,tanh,2,500,0.005,1e-05,adam,0.9,0.999,1e-06,step,50,0.5,0.001,xavier,2,6.557673,96.456558,0.001151,0.0,33,5.33813,1.936538,4.934196
deep_mlp_tanh_8_4_adam_xavier,deep_mlp,8,"8,4",tanh,3,500,0.005,1e-05,adam,0.9,0.999,1e-06,step,50,0.5,0.001,xavier,2,18.188829,166.9039,0.426023,0.0,65,8.15178,1.952346,4.338985
mlp_relu_8_adam_xavier,mlp,8,,relu,2,500,0.005,0.0025,adam,0.9,0.999,1e-06,step,50,0.5,0.001,xavier,2,1.329567,6.64608,0.981091,0.0,33,6.180831,1.54972,3.598988
deep_mlp_16_8_adam_he,deep_mlp,16,"16,8",relu,3,500,0.005,0.005,adam,0.9,0.999,1e-06,step,50,0.5,0.001,he,2,3.40413,37.684464,1.192808,0.0,193,11.795677,1.672634,1.665771
mlp_multi,mlp,8,,relu,2,500,0.005,1e-05,,,,,step,50,0.5,0.001,,2,15.533516,125.042374,3.304271,0.0,33,0.0,0.0,9.817765
deep_mlp_8_4_adam_xavier,deep_mlp,8,"8,4",relu,3,500,0.005,0.0025,adam,0.9,0.999,1e-06,step,50,0.5,0.001,xavier,2,1.101198,14.31329,3.937222,0.0,65,7.037128,1.730715,3.251251
mlp_relu_8_adam_he,mlp,8,,relu,2,500,0.005,0.0025,adam,0.9,0.999,1e-06,step,50,0.5,0.001,he,2,6.384808,8.971607,9.71536,0.0,33,7.784528,2.198018,3.150051
deep_mlp_8_4_adam_he,deep_mlp,8,"8,4",relu,3,500,0.005,0.0025,adam,0.9,0.999,1e-06,step,50,0.5,0.001,he,2,4.923173,23.689737,21.130367,0.0,65,8.912567,2.0233,2.877143
linear_adam,linear,0,,none,1,500,0.005,1e-05,adam,0.9,0.999,1e-06,step,50,0.5,0.001,zeros,2,75.873726,269.770874,44.739685,0.0,3,0.776245,0.559822,1.802559
